ID отзыва,Дата,Номенклатура,Количество звезд,Бренд,Текст отзыва,Имя,Регион,Цвет,Размер,Полезность (количество минусов),Полезность (количество плюсов)
1646,29/7/2021,Артикул 1268,1,Бренд 21,"Не заметили сразу, дома обнаружили что вместо 10, в упаковке 9 клубков... Обман!",Тарас,RU,"сиреневый, лавандово-розовый",0,1,0
1647,29/7/2021,Артикул 1269,1,Бренд 24,Заказывали и платили за 6 матков а получили 5 матков. Почему такой обман. Ни кому больше нк посоветую у вас заказывать. Вы обманываете людей,Елена,RU,"светло-бежевый, бледно-розовый",0,0,0
1648,29/7/2021,Артикул 1197,5,Бренд 24,"Очень красивая, приятная и качество 👍Связала подарок дедушке 🎁🧶🌸🎉",Гаухар,KZ,,0,1,14
1649,29/7/2021,Артикул 1270,5,Бренд 33,"отличные планки, аккуратно сделаны, упакованы в коробку с логотипом; подошли к вертикальным планкам другого производителя. Спасибо, очень довольны! только цена завышена, по моему мнению...",Инга,RU,,0,0,0
1651,29/7/2021,Артикул 419,5,Бренд 22,"Станок замечательный! Очень хорошего качества комплектующие, прекрасная и идея и исполнение, отличная рама, многофункциональный. Стационарен, не шатается. Удобен для использования и как диванно-краватный и как настольный, много вариантов настройки для разных целей. Пользуюсь месяц, одно удовольствие!!! Верхняя планка вмещает все, что может понадобиться в работе. Большое спасибо!!!",Елизавета,RU,,0,0,0
1654,29/7/2021,Артикул 1272,2,Бренд 6,"Мне совсем не понравилось,не стоит своих денег,я растворилась,хотела сделать подарок,ну такое не подаришь!!!",Алина,RU,белый,0,0,0
1659,29/7/2021,Артикул 1132,5,Бренд 4,Комплектация полная. 5 планшеток с нитками 4х10 цв. И 1х12 цветов,Елена,RU,,0,0,0
1660,29/7/2021,Артикул 1276,5,Бренд 35,Получилась Икона неописуемой красоты!!!,Татьяна,RU,белый,0,0,0
1662,29/7/2021,Артикул 217,5,Бренд 22,"Все отлично. Собрала сама, но было бы не плохо производителю выложить на Ютуб видео со сборкой)) вышиваю на станке уже две недели, очень удобно. Ну и конечно само качество дерева очень радует, все гладкое, приятное на ощупь, вышивать одно удовольствие 😌",Ирина,RU,,0,0,1
1663,28/7/2021,Артикул 1278,1,Бренд 10,Вместо пряжи Drops Fabel белого цвета доставили пряжу Drops Alpaka бежевого цвета.,Елена,RU,,0,1,2
1664,28/7/2021,Артикул 297,4,Бренд 56,"Пластина очень тонкая 2-2,5мм, так что новичкам, людям с чувствительной кожей и склонной к куперозу - АККУРАТНЕЙ!!! К сожалению, продавец не ответил за целый месяц на вопрос о толщине и не предоставил информацию в описании. Для поездок удобен, не разобьётся точно. Но вот для постоянного использования только представителям ‘дубовой’ кожи… После первого применения вся в кровоподтёках, хотя сила нажатия очень средняя… Есть минус у тонких пластин, при слабом нажатии не прорабатываешь совсем, при чуть более сильном надавливании уже кровоподтёки…  Так что каменные толстенькие пока незаменимые на постоянку🤷🏼‍♀️",Таника,RU,серебристый,0,0,1
1668,28/7/2021,Артикул 1282,5,Бренд 10,Отличная пряжа.,Анна,RU,"оранжевый, светло-оранжевый",0,0,0
1669,28/7/2021,Артикул 1082,5,Бренд 4,"влюбилась в наборы этого производителя, схемы всегда чётко проработаны, не требуется никакой бэкстич, цвета шикарные. особо хочется отметить очень удобные органайзеры, - не нужно сверяться с ключом, всё под рукой. нитки не путаются, не перетираются. в общем, luca-s - мечта любой вышивальщицы!",Татьяна,RU,,0,0,3
1673,28/7/2021,Артикул 1286,5,Бренд 17,"Набор пришел целый,качество бисера хорошее,много бисера осталось в запасе,картина получилась красивая,объемная,сделала за 3 недели очень легко и быстро",Евгения,RU,белый,0,0,1
1674,27/7/2021,Артикул 1287,5,Бренд 10,"Пряжа нежная не колется, на джемпер 44-46 ушло 4 мотка на спицах 4. Вязать лучше на деревянных спицах кубиксах, чтоб пряжа не скользила. После стирки джемпер вытянулся в длину. Тонкая но очень тёплая. Распустить аккуратно можно. Но после сложённого нахождения в шкафу мнётся и принимает вид свалявшейся пряжи. Очень нежный мягкий и невесомый джемпер получается, снимать не хочется.",Ильмира,RU,темно-алый,0,0,2
1677,27/7/2021,Артикул 1289,5,Бренд 14,Супер пряжа👍👍👍👍👍👍👍,Любовь,RU,песочный,0,0,0
1688,27/7/2021,Артикул 31,5,Бренд 10,"Цвет отличается, но тоже симпатичный. На фото вязала в 1 нить на спицах 3 и в 2 нити на 4",Екатерина,RU,,0,0,18
1691,26/7/2021,Артикул 1302,4,Бренд 24,"Сделала возврат т к пришло 3 мотка вместо 4,очень неприятно.... упаковка в один пакетик, не запаяно,ПРОШУ НЕ УЧИТЫВАТЬ ПРОЦЕНТ",Мария,RU,черный,0,0,1
1696,25/7/2021,Артикул 1307,5,Бренд 24,Мне данная пряжа очень понравилась. Классный плед получился.,Валентина,RU,,0,0,0
1703,24/7/2021,Артикул 1043,5,Бренд 61,Отличные.Без запаха.Вместительные.,Наталья,RU,прозрачный,0,0,0
1707,23/7/2021,Артикул 1316,5,Бренд 5,"Прекрасный набор, хорошо качество основы, но количество бисера на пределе. Этим и отличается этот производитель. Берегите каждую бисеренку. Спуповато.",Ирина,BY,белый,0,0,0
1711,23/7/2021,Артикул 28,5,Бренд 10,"Спицы необыкновенные, красивущие.
Очень гладкие, с достаточно острым носиком. Место стыка идеально гладкое. Тросики очень удобные.",Татьяна,RU,коричневый,0,0,1
1719,22/7/2021,Артикул 1324,5,Бренд 24,Пряжа отличная,Светлана,RU,сиреневый,0,0,0
1720,22/7/2021,Артикул 347,5,Бренд 56,"Отличный скребок! Понравился больше чем каменный. Гладкий, красивый, вечный)) Рекомендую!",Ольга,RU,серебристый,0,0,0
1721,22/7/2021,Артикул 906,5,Бренд 22,"Самый лучший станок. Идеальная комплектация, упаковка, инструкция. Собрала сама. Устойчив на столе. Крепления канвы без заусенцев, держат хорошо, крепко и портят ткань или вышивку.",Наталья,RU,,0,0,0
1726,22/7/2021,Артикул 1144,5,Бренд 4,"Хороший,качественный набор.",Наталья,RU,,0,0,0
1731,21/7/2021,Артикул 235,4,Бренд 2,"Мелкий бисер 13д не темно зелёный! Не хватило бисера 22F (15 размер прозрачный). Бисер в основном не ровный (некоторые цвета идеальные). В целом выглядит неплохо за свои деньги (покупала за 900р), но бисер посоветовала бы заменить на более ровный.",Елена,RU,белый,0,0,0
1737,20/7/2021,Артикул 291,5,Бренд 10,Оболденный кид-мохер на шёлке!  Италия конечно ни с чем не сравнима. На паутинку уходит 2.5 мотка,Мария,RU,,0,9,25
1738,20/7/2021,Артикул 64,5,Бренд 25,"Ну пришло целое, намазала голову. Чувствую жжение. Но терпимо, значит работает. Маслянистая такая водичка. Нечаянно попала капля ну губу, горько капец 😄 посмотрим результат...",Ксения,RU,,0,0,0
1740,20/7/2021,Артикул 911,5,Бренд 9,Нитки хорошие. Спасибо.,Марина,RU,,0,0,0
1741,20/7/2021,Артикул 1243,5,Бренд 3,"Равномерка отличного качества! Особенно порадовала цена -за 870 рублей трудно где либо найти такой большой отрез. Цвет слоновая кость - один из самых универсальных , довольна покупкой 😉",Александра,RU,слоновая кость,0,0,0
1745,20/7/2021,Артикул 1340,2,Бренд 10,"Может быть товар то и хороший, но все впечатление омрачило отсутствие двух спиц в комплекте. Очень плохо. Я расстроена.",Ксения,RU,серебристый,0,0,0
1746,20/7/2021,Артикул 269,5,Бренд 11,"У набора плохо заклеен край, поэтому создаётся впечатление, что его вскрывали. Содержимое на месте. Для успокоения покупателя желательно клеить наклейку на стык пакета, чтобы была видна целостность упаковки. Сэкономила около 600 рублей, по сравнению со стоимостью в интернет-магазинах.",Марина,RU,,0,0,1
1752,19/7/2021,Артикул 1346,5,Бренд 33,"Все соответствует описанию. Детали все на месте, размер достаточно большой. Удобная регулировка, искала специально с тремя разными положениями.",Вероника,RU,бежевый,0,0,0
1753,19/7/2021,Артикул 320,5,Бренд 22,"Хороший станок. Достаточно устойчивый. Собирается легко, но при этом детали не расхлябаны. Края брусков обработаны, заусенцев нет. Рамы 30*40 хватает на средние работы, но станок расширяется и можно просто докупить к нему рам. Цена отличная. Радует, что можно настроить высоту и использовать и как диванный, и как настольный станок. Напольный уже не получится - низковат)",Наталия,RU,,0,0,0
1766,18/7/2021,Артикул 64,5,Бренд 25,"Покупала для волос, помогло от боли в мышцах! Но и рост волос увеличился, и стало немного меньше выпадать.",Анастасия,RU,,0,0,1
1775,17/7/2021,Артикул 280,5,Бренд 90,"Сушит фрукты не хуже, чем сушилки с вентилятором.",Виктория,RU,,0,0,0
1776,17/7/2021,Артикул 1259,5,Бренд 4,"Отличный набор, как всегда,у этой марки ) ниточки с запасом )цвета немного отличаются по тону от обложки ,в остальном все идеально )",Янеса,RU,,0,0,3
1780,17/7/2021,Артикул 1366,5,Бренд 28,"Пряжа пришла грязная, двух клубков не хватало. Вместо 10, пришло 8. Возврат и ипорченное настроение.",Юлия Сергеевна,RU,изумрудный,0,0,0
1786,16/7/2021,Артикул 160,5,Бренд 4,Всё красиво и аккуратно!,Татьяна,RU,,0,0,0
1787,16/7/2021,Артикул 1232,5,Бренд 3,"Не в первый раз заказываю, все отлично, основа качественная",Мария,RU,"белый, молочный",0,0,1
1790,15/7/2021,Артикул 257,3,Бренд 17,"Все было бы хорошо, даже отлично, НО в наборе нет цвета 8 и тут даже не угадать какой он должен быть. Работа встала.",Наталья,RU,белый,0,0,0
1794,15/7/2021,Артикул 1376,5,Бренд 23,"Ниточки супер! Мягкие, шелковистые. Думаю в работе будут отличные!",Лидия,RU,пудровый,0,0,0
1795,14/7/2021,Артикул 1377,5,Бренд 61,Дочкино счастье! 9 лет,Наталья,RU,прозрачный,0,0,0
1798,14/7/2021,Артикул 381,5,Бренд 22,Хорошая рама. С помощью небольших манипуляций легко подружила ее со станком Мастерица от Дубко.,Татьяна,BY,,0,0,1
1803,12/7/2021,Артикул 1384,1,Бренд 24,"Огромное сомнение в том, что Пряжа оригинальная, петли через одну с залысинами, цвет петель встречается с белыми проблесками, естественно качество изделия будет плохим.",Анна,RU,,0,0,1
1805,12/7/2021,Артикул 673,5,Бренд 24,"Пряжа супер,мягкая,нежная, получился отличный детский пледик!!!",Мария,RU,,0,0,2
1810,12/7/2021,Артикул 1005,5,Бренд 16,Люблю эту пряжу!,Лариса,RU,"розовый, бордовый",0,0,11
1811,12/7/2021,Артикул 1390,5,Бренд 22,"Все пришло в целости, коробка нигде не помята. Все замечательно отшлифовано, нигде ничего не торчит и зацепиться невозможно. Собирается очень просто. Осталось привыкнуть к станку и к натяжке канвы. Огромное спасибо за прекрасное качество и быструю доставку)",Софья,RU,,0,0,0
1813,12/7/2021,Артикул 31,5,Бренд 10,Свет сливочный или светлый беж),Наталья,RU,,0,0,6
1814,12/7/2021,Артикул 1392,1,Бренд 14,"Цвет заказала королевский синий, а пришёл бежевый !?! Как вы думаете сильно не отличаются цвета?",Юлия,RU,королевский синий,0,0,0
1819,12/7/2021,Артикул 1058,5,Бренд 24,"Пряжа мне понравилась, только пришло 5 мотков вместо 10. Поэтому отказ, очень жаль.",Елена,RU,молочный,0,0,0
1821,11/7/2021,Артикул 1398,5,Бренд 61,"Хорошие баночки, плотно завинчивается крышка",Наталия,RU,прозрачный,0,0,0
1823,11/7/2021,Артикул 217,1,Бренд 22,"Прислали станок с маленькой рамой. В пункте выдачи не посмотрела на коробку, обнаружила только дома. Очень долгая была доставка. Станок хороший, ставлю одну звезду за работу магазина, а не за товар.",Ирина,RU,,0,0,0
1826,11/7/2021,Артикул 1104,3,Бренд 2,"Вышивка очень красивая , но не хватило бисера. 70 бисеринок. Бисер 15А.",Добросердова,RU,белый,0,0,0
1828,11/7/2021,Артикул 1402,5,Бренд 6,Классная работа получилась. Хороший бисер. Рекомендую.,Оксана,RU,голубой,0,1,0
1829,11/7/2021,Артикул 468,5,Бренд 4,"Хороший набор, доставка вовремя, спасибо.",Анастасия,RU,,0,0,0
1831,11/7/2021,Артикул 1404,5,Бренд 2,Отличные пакеты,Анжела,RU,белый,0,0,0
1832,11/7/2021,Артикул 7,5,Бренд 6,"Впервые вышивала бисером и вот что получилось! В целом всё понравилось, вышила за месяц, если каждый день вышивать, то можно вышить быстрее. Единственный минус то что в наборе не было ниток, пришлось докупать. Теперь осталось только оформить работу.",Дмитрий,RU,белый,0,0,0
1838,10/7/2021,Артикул 538,5,Бренд 4,"Отличный набор, хорошая схема, ниток достаточно. Работа получилась очень красивая. Спасибо производителю за такой набор и ВБ за скидку, приобрела за 1274₽",Инна,RU,,0,0,3
1839,10/7/2021,Артикул 518,5,Бренд 14,Товар хороший но к сожалению работают ужасные люди которые бессовестно воруют    Пакет разодран и нет одного мотка товар не дешевый поэтому отказ,Татьяна,RU,вишневый,0,0,1
1840,9/7/2021,Артикул 1410,5,Бренд 2,"""Нова  слобода""-качество,красота и радость творчества.",Ольга,RU,белый,0,0,1
1841,9/7/2021,Артикул 280,4,Бренд 90,выдали не весь заказ - пришлось возвращаться,Елена,RU,,0,2,0
1842,9/7/2021,Артикул 1411,5,Бренд 2,"Спасибо производителю и WB! Все в порядке. Доставка в срок, наборы без изъянов.",Анна,RU,белый,0,0,0
1843,9/7/2021,Артикул 1030,5,Бренд 35,"Покупаю второй набор данной фирмы. Все прекрасно , большое спасибо за набор.",валентина,RU,белый,0,0,0
1845,9/7/2021,Артикул 451,5,Бренд 22,"Прекрасная рамка. Как всегда у Арабески высокое качество. Все гладенько, идеально отшлифованное, мои ручки просто в восторге. Рама 30х56 прекрасно подошла к станку, который покупала с рамой 30х48.",Марина,RU,,0,0,0
1849,8/7/2021,Артикул 1415,5,Бренд 3,Хорошая канва. Чистый отрез.,Татьяна,RU,белый,0,0,1
1858,8/7/2021,Артикул 1424,5,Бренд 53,Набор супер.,Ольга,RU,светло-бежевый,0,0,0
1860,8/7/2021,Артикул 1426,1,Бренд 53,Разорванная картина не советую,Настя,RU,белый,0,0,0
1864,7/7/2021,Артикул 1429,5,Бренд 17,Очень красивая вышивка,Надежда,RU,белый,0,0,1
1865,7/7/2021,Артикул 33,3,Бренд 8,"К сожалению тигр почему то обратился волком,что то напутали,а я так ждала этот набор ,пришлось делать возврат",Галия,KZ,белый,0,0,0
1866,7/7/2021,Артикул 903,1,Бренд 22,Не хватает двух деталей. Вот таких закрепляющих барашков,Екатерина,RU,,0,1,0
1872,6/7/2021,Артикул 7,5,Бренд 6,Супер.  2 недели  за  работой .,Анжела,AM,белый,0,0,0
1881,6/7/2021,Артикул 1442,2,Бренд 14,Цвет не соответствует картинке.,Валерия,RU,"темно-розовый, розовато-серый",0,1,0
1882,5/7/2021,Артикул 1043,5,Бренд 61,Отличные . Крепкие . Крышка плотно закрывается . Взяла для заморозки ягод на зиму . Пришли целые,Екатерина,RU,прозрачный,0,0,0
1886,5/7/2021,Артикул 371,5,Бренд 33,"Все просто супер! Качество на высоте, отлично упаковано,все в точности соответствует описанию !  Спасибо большое производителю!!!",Виктория,RU,,0,0,0
1887,5/7/2021,Артикул 1415,5,Бренд 3,Классная канва то что надо,Наталия,RU,белый,0,0,0
1888,5/7/2021,Артикул 475,4,Бренд 53,"Вышивка почти закончена. Плюсы: очень яркие цвета, красивая канва, да и сама картинка получается красивой.                        Минусы: схема бэка нанесена поверх основной схемы, из-за этого некоторые символы трудно разобрать; очень большие листы схемы; стрелочки, показывающие середину вышивки, полностью закрывают символы схемы, какой под ними символ-догадайся сама. И ещё. Схема достаточно сложная, не для новичков.",Юлия,RU,горчичный,0,0,0
1891,4/7/2021,Артикул 1448,5,Бренд 17,Набор великолепный. Цветовая гамма подобрана со вкусом. Лики красивые. Спасибо производителю.,Лариса,RU,белый,0,0,0
1894,4/7/2021,Артикул 1449,5,Бренд 53,"Набор пришел немного надорванным, но внутри все в целосности и сохранности.",Татьяна,RU,белый,0,0,0
1902,4/7/2021,Артикул 300,5,Бренд 22,"Станок оправдал все ожидания. Все как заявлено у продавца. Окуратно обработан и вышивать удобно, ткань держит крепко.",Елена,RU,,0,0,0
1905,4/7/2021,Артикул 1456,5,Бренд 6,"Набор полный,бисер ровный, сама схема очень чёткая.",Ольга,RU,белый,0,0,0
1909,3/7/2021,Артикул 161,5,Бренд 25,"Всё замечательно, ещё не пробовала. Только зачем, Wildberries, клеить свою наклейку прямо на способ применения?",Ольга,RU,,0,1,1
1914,3/7/2021,Артикул 1462,5,Бренд 3,"Заказывала белую, пришла с люрексом.",Снежанна,RU,белый,0,0,0
1919,3/7/2021,Артикул 1466,5,Бренд 3,"Отличная ткань, все как в описании.",Татьяна,RU,темно-синий,0,0,0
1922,3/7/2021,Артикул 1469,5,Бренд 24,"Приобретаю не в первый раз. Шикарные нитки. Мягкие. Длина такая, как заявлено 9 м.",Ирина,RU,,0,0,0
1923,2/7/2021,Артикул 260,5,Бренд 16,"Пряжа отличная. Уже вязала из такой, ниточка тоненькая, мягкая.",Крылова,RU,белый,0,0,0
1924,2/7/2021,Артикул 1470,5,Бренд 2,Наборы этой фирмы прекрасны❤,Виктория,RU,белый,0,0,0
1927,2/7/2021,Артикул 1472,4,Бренд 8,Заказа две штуки и обе приехали не те. Не смогла я пока поймать свою птицу счастья🙁,Ирина,RU,белый,0,0,0
1929,1/7/2021,Артикул 64,5,Бренд 25,"Не заметила эффекта в плане выпадения волос, но вот мыть голову стала реже. Раньше мыла каждый день, сейчас раз в 2-3 дня! Плюс наношу на кончики волос, теперь они не такие сухие.",Саида,RU,,0,0,0
1931,1/7/2021,Артикул 1475,5,Бренд 53,Картина получилась просто супер!,Татьяна,RU,белый,0,0,0
1938,1/7/2021,Артикул 1346,5,Бренд 33,Все детальки на месте. Собрала за пол часа.,Анжелика,RU,бежевый,0,0,0
1941,30/6/2021,Артикул 64,5,Бренд 25,Очень хорошее масло при болях головных и при пмс,Ольга,RU,,0,0,0
1945,30/6/2021,Артикул 1485,5,Бренд 23,Хорошее качество,Наталья,RU,темно-алый,0,0,1
1946,30/6/2021,Артикул 64,5,Бренд 25,"Это магниевое масло беру уже третий раз, очень круто работает! Мажу когда болит голова, полчаса и все проходит, перед сном мажу ноги на часик и сплю супер. Только смываю потом, мне неприятно от налета на коже. Но это мелочи, главное помогает.
Кстати, один раз решила сэкономить и взяла подешевле другой марки, эффекта такого не было, больше не рискую, только это беру.",Саша,RU,,0,0,3
1947,30/6/2021,Артикул 1486,5,Бренд 61,"Пластик крепкий. На вид - маленькие гамм на 200, но по факту из мерного стакана поместилось всклень ровно 400мл. Ожидала, что они будут рассчитаны на 400гр, так они были бы побольше.. Но, в хозяйстве пригодятся для заморозки порций мороженого, ягод, зелени. Буду брать такие же больше объёмом",Ольга,RU,прозрачный,0,0,0
1950,30/6/2021,Артикул 1488,5,Бренд 10,"Пряжа классная, мягкая, красивая. Но прислали 1 моток.",Алина,RU,бледно-голубой,0,1,0
1952,30/6/2021,Артикул 468,5,Бренд 4,"Очень хороший набор , довольна покупкой,спасибо",Галина,RU,,0,0,0
1955,29/6/2021,Артикул 610,5,Бренд 22,"Собирается легко, инструкция интуитивно понятная. Всё детали в комплекте, размеры подходящие. Дерево обработано ровно, без заусениц. Внешне станок красивый. Клипсы заходят легко, держатся. Поработала с ним пока недолго, но в эксплуатации удобен.",Ирина,RU,,0,0,1
1956,29/6/2021,Артикул 1492,5,Бренд 14,"Нитки классные, мягкие. Моточки ровно по 100 гр. Буду вязать платок. Спасибо WB.",Марина,RU,белый,0,0,2
1958,29/6/2021,Артикул 1243,5,Бренд 3,"Канва превосходная, размер как заявлен, даже на сантиметр больше в длину. Цвет красивый, упаковка целая. Спасибо!",Татьяна,RU,слоновая кость,0,0,0
1959,29/6/2021,Артикул 1270,5,Бренд 33,Отлично подошёл к станку от Дубко.,Мария,RU,,0,0,0
1960,29/6/2021,Артикул 1494,1,Бренд 16,Цвет совсем не тот! Как можно перепутать не понимаю 🙄,Юлия,RU,синий,0,0,0
1962,29/6/2021,Артикул 1496,5,Бренд 24,Очень приятная на ощупь  пряжа)) нет минусов)),Анастасия,RU,,0,0,1
1966,29/6/2021,Артикул 214,5,Бренд 3,Отличная ткань для вышивания.,Алена,RU,серо-бежевый,0,0,0
1968,28/6/2021,Артикул 957,5,Бренд 24,Соответствует описанию.,Любовь,RU,,0,0,1
1971,28/6/2021,Артикул 1503,4,Бренд 3,"Пришла с люрексом, нужна была белая...выкупила, в хозяйстве пригодится, но осадочек остался",Кристина,RU,белый,0,0,0
1974,28/6/2021,Артикул 1505,5,Бренд 3,"Качество отличное, размер соответствует описанию. Очень довольна покупкой.",Екатерина,RU,"серый, белый",0,0,1
1978,28/6/2021,Артикул 1509,5,Бренд 61,"Баночки хорошие, покупали для воздушного пластилина.",Маргарита,RU,прозрачный,0,0,0
1980,27/6/2021,Артикул 237,5,Бренд 24,"Отличная, мягкая пряжа!",Ольга,RU,,0,0,0
1981,27/6/2021,Артикул 820,5,Бренд 33,"Отличные планки, подошли к дубко. Клипсы держат на 100%. Рекомендую.",Татьяна,RU,,0,0,0
1987,27/6/2021,Артикул 884,5,Бренд 90,"Отличный элекрообогреватель.Всю зиму пользовалась, очень довольна. Советую",Галина,RU,"васильковый, зеленый, бирюзовый, коричневый, белый",0,0,0
1990,27/6/2021,Артикул 1516,5,Бренд 61,Рекомендую.,Инна,RU,прозрачный,0,0,0
1991,27/6/2021,Артикул 1517,5,Бренд 4,"Набор пришёл хорошо упакованый, комплектация полная,  нареканий никаких нет. Купила с очень хорошей скидкой. Пока всем довольна. Посмотрим что будет в процессе вышивания.",Маргарита,RU,,0,0,0
1993,27/6/2021,Артикул 1519,5,Бренд 2,Очень красивый набор!!!,Евгения,RU,белый,0,0,0
1994,27/6/2021,Артикул 1043,5,Бренд 61,"Упакованы хорошо, достаточно плотно закрываются. Для хранения очень удобно.",Виктория,RU,прозрачный,0,0,0
1998,26/6/2021,Артикул 412,5,Бренд 17,Все отлично,Светлана,RU,белый,0,0,0
2000,26/6/2021,Артикул 286,1,Бренд 11,"Приехал переупакованный вскрытый набор, смучает каунт, похож на 18. Забрала, вскрывать не буду, сверю, если что верну! Вообще похож на очень бу набор",Надежда,RU,,0,0,1
2008,26/6/2021,Артикул 1528,1,Бренд 14,"Цвет совсем не соответствует, я расстроена это мягко сказано.",Ольга,RU,светло-синий,0,0,0
2013,26/6/2021,Артикул 64,5,Бренд 25,Классная и удобная,Кристина,RU,,0,0,0
2014,25/6/2021,Артикул 1533,4,Бренд 88,"Поло из тонкой ткани, просвечивает, папа не любит такие. на размер 62, оказалась мала. возврат. я считаю не стоит этих денег.  маломерит",ЕЛЕНА,BY,желтый,6XL,0,1
2017,25/6/2021,Артикул 1030,5,Бренд 35,Это первая работа камнями. Я очень довольна результатом работы. Спасибо дизайнерам за такие наборы и конечно магазину вайлбериз.,Екатерина,RU,белый,0,0,2
2018,25/6/2021,Артикул 895,3,Бренд 2,"Идея хорошая - исполнение подкачало.
Часовой механизм не продуман, толщина дерева не позволяет его установить правильно. Кошка осталась без глаз - в комплекте пришли поломанные.",Ирина,RU,белый,0,0,0
2019,25/6/2021,Артикул 1535,5,Бренд 6,Вместо Святой Татьяны выслали Святую Ангелину. Возврат. Качество хорошее,Татьяна,RU,белый,0,0,0
2022,25/6/2021,Артикул 1538,5,Бренд 4,"Отличное качество.  Схема понятная, вышиваю с удовольствием",Наталья,RU,,0,0,0
2023,25/6/2021,Артикул 1243,5,Бренд 3,Все просто супер. Канва отличного качества! Цвет и размер соответствует,Светлана,RU,слоновая кость,0,0,0
2027,25/6/2021,Артикул 1542,5,Бренд 53,"Товар получила вовремя, упаковка целая, все в наличии, буду вышивать с удовольствием в пару Боярышне с подносом.",Юлия,RU,белый,0,0,0
2031,24/6/2021,Артикул 358,5,Бренд 5,"Набор замечательный! Вышивала разные работы, но от этой получила особенное удовольствие! Качественные бисер и  схема. Под определенным углом у иконы эффект 3D. Очень рекомендую!",Елена,RU,белый,0,0,1
2032,24/6/2021,Артикул 1544,5,Бренд 24,Хорошие нитки.,Татьяна,RU,,0,0,0
2035,24/6/2021,Артикул 121,3,Бренд 22,"Пришло все замечательно упаковано. Дерево гладко. Схема понятная. Стала сама собирать... Пазы у ножек не подходят друг к другу! Ни как! Я понимаю что можно подточить, подпилить... Но разочарование от покупки... Столько хороших отзывов. Вроде фирма приличная. Но это же явный брак! Стоит ли перезаказывать?",Юлия,RU,,0,0,0
2039,24/6/2021,Артикул 64,5,Бренд 25,"Честно, пока не нашла для себя как его использовать. Мазала на кожу головы начался зуд, наносила на тело, остаётся липкая плёнка, не знаю что с ним делать",Юлия,RU,,0,2,0
2040,24/6/2021,Артикул 1114,1,Бренд 3,Качество ужас,Алла,RU,белый,0,1,0
2041,24/6/2021,Артикул 694,5,Бренд 14,"На фото цвет очень интересный ,а по факту черный из за этого отказ,а так пряжа приятная,тонкая , качество хорошее",Ирина,RU,маренго,0,0,2
2042,24/6/2021,Артикул 1550,5,Бренд 23,"С этой пряжей была не знакома. Подкупил цвет и блеск. И не разочаровалась. Вяжу крючком, было удобно, нитка ровная!",Юлия,RU,"бежевый, песочный",0,0,1
2051,23/6/2021,Артикул 710,4,Бренд 61,"Баночки понравились- вместительные, но одна пришла разбитая.",Светлана,RU,прозрачный,0,0,0
2052,23/6/2021,Артикул 1556,5,Бренд 10,"Не подошел цвет. Отказ, к сожалению",Оксана,RU,бордовый,0,1,0
2053,23/6/2021,Артикул 1229,5,Бренд 22,"Замечательный станок! Гладкий, аккуратный. Собрала легко. Сразу попробовала натянуть канву. Я довольна!!",Елена,RU,,0,0,1
2055,23/6/2021,Артикул 1557,5,Бренд 17,"Очень красивая икона. Хорошее качество набора, бисер весь ровный, одного размера. Бисера достаточно, ещё даже остался.",Ксения,RU,белый,0,0,0
2058,22/6/2021,Артикул 1559,5,Бренд 17,Очень понравился,Екатерина,RU,белый,0,0,0
2059,22/6/2021,Артикул 1270,5,Бренд 33,Доставили в срок. Упаковано было в коробку. Покупкой довольна.,Марина,RU,,0,0,0
2060,22/6/2021,Артикул 1560,5,Бренд 5,"Мне очень понравились иконы этой фирмы. Вышивать одно удовольствие и результат впечатляет. Уже вышила 2 иконы. Эта уже 3. Набор в целом понравился, канва и бисер качественные. Плюс доставили очень быстро.",Ирина,RU,белый,0,0,0
2070,21/6/2021,Артикул 1567,5,Бренд 4,"Дарила маме, она осталась в восторге! Ниток хватило, качество очень хорошее. Вышила картину за 4 месяца.",Ольга,RU,,0,0,4
2072,21/6/2021,Артикул 1569,5,Бренд 6,"Советую к покупке, качество хорошее, ткань х/б не вытягивается. Вышивать одно удовольствие!!!",Татьяна,RU,серый,0,0,1
2076,21/6/2021,Артикул 1571,5,Бренд 91,"Классные модные брюки , парню 16 лет подошли идеально",Наталья,RU,черный,l,0,0
2077,21/6/2021,Артикул 1346,5,Бренд 33,"Давно мечтала об этом станке и наконец то приобрела, чуть не разрыдалась от счастья, пока тащила эту ""бандуру"" домой 😄 коробка была реально тяжелой. Собрала его быстро, был опыт сборки подобных станков и инструкция понятная, фотографии крупные. Нравится, что можно регулировать под себя. Сделан качественно. Занимает много места, но я была готова😄 спасибо производителю, заприметила Ваш бренд ещё на формуле рукоделия😉",Юлия,RU,бежевый,0,0,0
2083,21/6/2021,Артикул 1533,5,Бренд 88,Мужу понравилось поло👍 Цвет очень нежный лимон👍Посмотрим как поведёт себя после стирки...,Наталья,RU,желтый,m,0,0
2085,21/6/2021,Артикул 306,5,Бренд 10,"Вполне достойная для вязания пряжа , ровная, хорошо, не очень туго скрученная, в вязаном полотне ложится ровно. Но куда так подняли цену, ведь это меринос, а не кашемир...Грустно, не все захотят брать пряжу дороже 400 руб за моточек.",светлана,RU,светло-бирюзовый,0,0,1
2087,21/6/2021,Артикул 152,3,Бренд 24,"Пряжа  не плохая, очень плохо соединены узлы, очень твёрдые, приходиться разрезать и соединять самой.",Инна,RU,,0,0,0
