Бренд,Очищенный текст отзыва,ПолезностьRFC,ПолезностьXGB,Полезность
Бренд 4,восторг набор нитка мулине аккуратно слагать канва схема вид  ти часть игла также гарантийный талон эл почта обратный связь высокий уровень сборка качество товар спасибо,2,2,2
Бренд 6,получать срок товар укомплектовывать хватать термостраз номер  последний комментарий понимать набор идти укомплектовывать это брак,2,2,1
Бренд 2,очень красивый вышивка получаться оклад очень добротный красивый,2,1,1
Бренд 61,отличный баночка приезжать целость,1,1,1
Бренд 24,"классный пряжа ,,  быстрый доставка ,,  фото соответствовать",1,1,2
Бренд 24,пряжа просто супер заказывать бордовый цвет очень яркий изделие получаться очень мягкий колючий супер ,2,1,2
Бренд 22,отличный пяльцы приходить быстро упаковывать,1,1,1
Бренд 25,обращать внимание быстро расслаблять мышца убирать боль ушиб укус насекомое,2,2,2
Бренд 18,цвет очень красивый полностью соответствовать описание ожидать нить толстый это недосмотр вязать очень легко изделей получаться воздушный,2,2,2
Бренд 3,канва превосходный размер заявлять сантиметр длина цвет красивый упаковка целый спасибо,2,2,1
Бренд 11,приходить распечатывать возврат,2,1,2
Бренд 2,вышивать ткань образ картон сначала привычно искалывать палец привыкать далеко шить нравиться,1,1,1
Бренд 24,приходить  моток соответствовать описание пойти вязать плед дочка 😍,1,2,2
Бренд 24,приятно вязать вечер связывать жилетка второй вечер сумочка 🥰,1,1,1
Бренд 24,супер товар довольный спасибо быстрый доставка,1,1,1
Бренд 10,пряжа хороший ручной стирка связанный изделие очень сильно растягиваться оставаться нужный размер нужно компановать нужный размер добавлять какой-то дополнительный нить фиксация,2,2,2
Бренд 10,замечательный пряжа вязаться легко расход небольшой джемпер примерно  моток уходить,2,2,2
Бренд 61,соответствовать описание,1,1,1
Бренд 25,сожаление третий применение сломаться дозатор нажатие брызгать приходиться откручивать наливать ладонь раствор горлышко очень удобно жаль,1,2,1
Бренд 52,очень вкусный специя первый брать везде использовать,2,2,2
Бренд 10,отличный пряжа приятно легко вязаться свитер паутинка доставаться моток узелок внутри,2,2,2
Бренд 90,проходить неделя пока греть серый сторона греться сильно очень тепло спасибо,1,2,0
Бренд 7,приходить целый ждать свой очередь спасибо скидка,1,2,2
Бренд 24,хороший пряжа моток попадаться очень хороший качество 😞  моток плед готовый 👌,2,2,2
Бренд 21,нитка узел цена качество ноль,1,1,2
Бренд 22,отличный станок,2,1,2
Бренд 17,набор супер хватить получаться очень красиво,2,2,2
Бренд 10,отлично цвет фото,2,1,2
Бренд 24,приходить моток вместо х,1,1,1
Бренд 6,здравствовать сегодня забирать свой заказ проверять место итог бисер схема очень обидно,2,2,1
Бренд 14,замечательный пряжа вязать нить запах абсолютно никакой спасибо производитель wb 🙂,2,2,2
Бренд 18,доставка быстрый пряжа очень яркий насыщенный цвет довольный летний вязание самый,2,2,2
Бренд 22,приходить станок очень расстраиваться 😔,2,1,2
Бренд 6,получать иконка упаковывать 👍  понимать почему комплект нитка 🤔  возможно упущение производитель хотя писать набор нитка приобретать отдельно  идеально б писать количество цветок бисер  скоро приступать отшива возможно отзыв дополнять фото готовый работа 😜,2,2,0
Бренд 3,заказывать серый цвет приходить ярко персиковый заказ взять думать вышивать хотеться все-таки четкость выполнение заказ снова искать серый,2,2,2
Бренд 5,очень красивый набор место,1,1,1
Бренд 18,пряжа неплохой ровный узелок неровность однако очень колючий рыхлый,2,2,2
Бренд 24,пряжа мягкий петелька ровный цвет,2,2,0
Бренд 3,канва понравиться цвет соответствовать рекомендовать,1,1,2
Бренд 18,заказ получать вовремя приходить весь  моток нужный цвет фото сделать дневной свет,1,1,2
Бренд 10,пряжа очень понравиться рекомендовать,1,1,1
Бренд 17,картина сходить ум,2,2,2
Бренд 16,заказ приходить соответствующий пользоваться пряжа вязание салфетка крючок очень качественный утолщение ровный весь длина белоснежный отливать свет любить тон,2,2,2
Бренд 3,канва хороший качество цвет размер соответствовать заявлять единственный немного смущать пакетик ткань опознавательный знак никакой информация содержимое марка размер каунт указывать упаковка просьба поставщик учитывать недостаток,2,2,2
Бренд 16,пряжа мягкий стирка деформироваться,1,1,2
Бренд 24,пряжа очень мягкий брак заказывать,1,1,1
Бренд 17,добрый день пожалуйста подсказывать нить входить комплект вышивка очень понравиться хотеться приобретать общий пользование,2,2,1
Бренд 2,отличный пакет,2,1,1
Бренд 24,соответствовать описание,1,1,2
Бренд 24,приходить цвет,1,1,0
Бренд 3,канва действительно очень хороший приятный цена перепутывать заказ цвет канва заказывать светло зеленый приходить персиковый порадоваться нужный зелененький мочь поступление,2,2,2
Бренд 24,классный нитка получаться очень теплый красивый плед нитка тоненький,1,1,1
Бренд 21,дважды заказывать товар дважды возврат почему приходить  моточек это товар вскрывать большой просьба докладывать товар заявлять количество изменять количество описание,2,2,2
Бренд 24,пряжа плохой полулысый,2,2,2
Бренд 10,пряжа очень хороший заказывать рпза брать !!,1,1,2
Бренд 3,отлично зимний сюжет самый  вышивать удовольствие,2,2,2
Бренд 24,пряжа понравиться именно нужно цвет понравиться мягкий комплект приходить полностью рекомендовать,1,2,1
Бренд 10,отличный пряжа описание соответствовать,2,2,2
Бренд 24,пряжа классный плед получаться офигенный,1,1,1
Бренд 22,присылать вместо зяблик арабеска станок серега мастер комплектация,1,1,0
Бренд 22,станок супер очень советовать,1,1,1
Бренд 10,приходить партия цвет который дешевый заказывать деньги взять дорогой товар думать случайно преднамеренно возврат  руб снимать ?!!,2,2,1
Бренд 10,классный мохер мягкий пушистый очень подходить вязание маленький вещь маленький куколка,2,2,2
Бренд 10,отличный пряжа,2,2,1
Бренд 10,подходить цвет зеленый вкрапление,1,1,1
Бренд 18,отличный пряжа нежный молочный цвет,1,2,1
Бренд 61,хороший баночка  шт трещина крышка разбивать доставка беспокоиться товар,1,1,2
Бренд 2,вышивать набор давно качество довольный,1,1,1
Бренд 61,хороший банк купить дочка слайм хранить,1,1,1
Бренд 18,цвет классный комплектация полный нарекание,1,1,1
Бренд 21,пряжа очень хороший цвет нежно голубой очень приятный количество моточек соответствовать описание присылать  вместо ,2,2,1
Бренд 24,приходить довольно быстро,2,2,1
Бренд 90,скатерть поступать нормальный состояние конец упаковка раскрывать грязный,1,1,1
Бренд 24,"цвет самый дело лиловый нежно сиреневый ниточка очень мягкий петля весь ровный связывать огромный плед накидка кресло качалка мама подарок спасибо продавец )))
",2,2,1
Бренд 5,очень красивый !!!,2,1,1
Бренд 23,отличный пряжа мягкий легкий вязание крючок  ,2,2,2
Бренд 24,замечательный пряжа,2,2,2
Бренд 10,дважды заказывать пряжа фуксия малиновый вишневый №  склад упорно отправлять пряжа №  сиреневый цвет просить снимать процент выкуп,2,2,1
Бренд 22,отлично очень удобно вышивать,1,1,1
Бренд 21,ожидать немного цвет насыщенный пока вязать пробовать упаковка целый весь  моток место,2,2,1
Бренд 14,первый брать выбирать песочный цвет экран желтый какой-то грязный непонятный цвет,2,1,2
Бренд 18,купить пряжа т вязать идти нить крючок немного подваливаться мочь подсаживаться частый стирка т натуральный шерсть,2,2,2
Бренд 10,качество пряжа проверять изделие очень достойный меринос наверное самый пухлый линейка фулл доломити мерино  долли макси пр  м вязать изделие связывать образеци постирать меринос вто раскрываться слегка растягиваться это норма нежный натуральный пряжа время эксплуатация пилинговаться невероятно нежный оттенок очень красивый,2,2,2
Бренд 10,хороший пряжа носок,2,2,1
Бренд 22,вещь очень хороший кот заценивать коробочка,1,1,1
Бренд 24,весь просто отлично,2,1,2
Бренд 10,цвет светло-синий скоро светло сиреневый полностью совпадать фото остальное пряжа хороший нить скручивать любить пряжа,2,2,2
Бренд 10,хороший пряжа мягкий колоться ложиться узор рекомендовать,2,2,1
Бренд 10,недокомплект  приходить  моток вместо   отказ  вообще пряжа отличный,1,1,2
Бренд 6,замечательный красивый икона бисер качественный вышивать  день,1,1,1
Бренд 10,вместо  моток доставлять ,2,1,2
Бренд 22,станок вышивание очень хороший довольный покупка качество древесина простой понятный схема сборка надежный упаковка замечательно большой спасибо производитель качественный изделие,2,2,2
Бренд 24,цвет темно фото набор  моток весь отличный качество метраж каждый моток  м спасибо быстрый доставка довольный,2,2,1
Бренд 2,очень красивый мелкий бисер понравиться,2,2,1
Бренд 4,разбираться вышивка !! отлично !!! просто понимать должно инструкция качество восхитительный,1,2,1
Бренд 88,футболка понравиться покупать муж размер соответствовать,1,1,2
Бренд 6,заканчивать вышивка икона получаться красиво,1,1,1
Бренд 35,набор замечательный инструкция подробный бисер хватить запас очень красивый брошь выходить,2,2,2
Бренд 21,приходить  моточек вместо  описание действительно нужно написать честно ,1,1,2
Бренд 14,цвет заказывать королевский синий приходить бежевый !?! думать сильно отличаться цвет,1,1,1
Бренд 53,набор приходить просто идеальный состояние первый заказывать набор золотой ручка весь просто супер цена набор очень хороший большой спасибо,2,2,1
Бренд 35,получаться икона неописуемый красота !!!,2,1,1
Бренд 17,набор класс приступать вышивка получаться очень красиво ярко,1,1,2
Бренд 10,хороший пряжа вязать свитер нить смотреться дорого богато вто размер поменяться,2,2,2
Бренд 6,заказывать татьяна мама день рождение приходить маргарита,1,1,1
Бренд 22,заявлять приходить весь целое повреждение материал качественный,1,1,2
Бренд 91,маломерок  й соответствовать  му скоро  й внимательный,1,1,1
Бренд 35,заказывать подарок муж это первый работа бренд заказ упаковывать тонкий пакет пломба бок пакет порывать доставать что-нибудь мочь выпадать пломба целость проверять вроде место большой просьба продавец запаковывать заказ плотный упаковка,2,2,1
Бренд 23,цвет красивый пряжа жесткий,1,1,1
Бренд 24,странно написать  моток приходить  это понимать,1,1,0
Бренд 5,оформляться тигр,1,1,1
Бренд 2,увидеть впервые сразу отказываться испугать очень мелкий деталь говориться волк бояться лес ходить пасха отважиться купить пожалеть набор шикарный бисер достаточно оставаться вышиваться легко это третий смотреться шикарно уходить подарок заказывать рекомендовать пожалеть,2,2,1
Бренд 61,отличный банк рекомендовать ребенок делать слайма постоянно очень понравиться упаковывать соответствовать заявлять обязательно заказывать размер производитель,2,2,2
Бренд 17,упаковка целость вышивка заниматься скоро,1,1,1
Бренд 14,супер 👍 👍 👍,1,1,1
Бренд 24,брать   дороговатый выбор цвет шикарный,2,2,2
Бренд 25,влиять волос сказать ничто мочь использовать неделя мышечный боль снимать самый приятный масло отдушка заказывать флакон весь приходить идеальный состояние запечатывать целый,2,2,2
Бренд 22,быстрый сборка схема очень легко собирать  минута материал гладкий комплект спасибо производитель,1,1,2
Бренд 53,давно мечтать набор рад приходить запакованый место,1,1,2
Бренд 33,хотеться понимать перемещать картина отрываться камушек невозможно закреплять клипса перемещение пока мочь оценивать хотеться обьяснение ясный видио,2,2,2
Бренд 35,шикарный набор !!! получать огромный удовольствие работа хватить кое-что оставаться,1,1,1
Бренд 21,спасибо отлично !!!,0,1,1
Бренд 2,заказ приходить упаковывать коробка полностью укомплектовывать глазок котиков отдельный пакетик,1,1,2
Бренд 6,спасибо огромный !!! заказывать татьяна приходить именно спасибо большой икона получаться замечательный !!,2,2,1
Бренд 25,здравствовать колпачок класть неприятный мелочь,1,1,1
Бренд 17,довольный покупка красота,2,1,2
Бренд 90,хороший коврик греть,2,2,2
Бренд 2,дополнение отзыв,1,1,1
Бренд 10,очень сильно лезть,2,1,2
Бренд 10,сожаление цвет соответствовать картинка факт цвет темно первый ерунда цвет,2,2,1
Бренд 10,пряжа шикарный,2,1,0
Бренд 4,красивый набор отличный цена обозначение значок планшетка нитка,2,2,1
Бренд 24,отличный пряжа брать скидка,2,2,2
Бренд 2,спасибо производитель,2,1,1
Бренд 24,вместо х моток приходить ждать сюрприз,1,1,1
Бренд 4,набор хороший удобно ключ прямо нитка единственный взбесить разметка миллиметр дырка съезжать психануть решать отстирывать канва расчерчивать самый смываться несмотря инструкция стирка ладно равный отстирывать ваниш порошок угодно отходить,1,1,2
Бренд 56,скребок идеальный 👍 🏻,1,1,2
Бренд 4,большой спасибо производитель набор схема нитка канва понравиться картина супер,1,1,2
Бренд 6,очень красивый наличие бисер качественный нестандартный размер рамка приходиться заказывать,1,1,0
Бренд 24,нитка короче обычно заказывать персиковый цвет  упаковка шт спервой упаковка думать единичный случай  второй вообще шок  сколько заказывать нитка  впервые это печально  зайка уходить   моток   хватать  элементарно моток лапка небольшой остаток ,2,2,2
Бренд 10,замечательный пряжа очень мягкий колоться,2,2,2
Бренд 11,купить набор входить канва игла нитка схема инструкция схема черно-белый символ крупный схема  лист  лист размер а нитка яркий картина получаться живой уютный праздничный общий рекомендовать покупка 😊 вышивать дополнять отзыв,2,2,2
Бренд 33,упаковка помять драный весь скотч товар место весь целое,2,1,1
Бренд 10,хороший скрутка нить участок сужение,1,1,2
Бренд 10,маять вещь говориться крючок замечательный единственный недостаток очень дорогой купить сын подарить,2,1,0
Бренд 2,коробка картинка рваный грязный заклеивать скотч подарок составлять вроде место цвет рамка час сильно отличаться фото серо синий темно-синий переход ярко синий заявлять это вопрос производитель,2,2,1
Бренд 10,упаковка приходить  моток вместо  возврат,1,1,1
Бренд 22,станок получать очень понравиться удобный спасибо доставка,1,1,1
Бренд 10,хороший пряжа,1,1,2
Бренд 4,заказывать набор luca получать пункт выдача проверка данный набор обнаруживать отсутствие расшифровка символ схема просто отсутствовать набор вскрывать заклеивать скотч просить помогать решение данный проблема,2,2,0
Бренд 22,отличный обработка гладко удобно клипса держать натяжка менять размер рекомендовать,1,2,2
Бренд 24,цвет мятный партия разница предыдущий,2,2,0
Бренд 90,спасибо коврик очень быстро нагреваться кошка жарко становиться,2,1,2
Бренд 56,идеальный 👍 🏻 сожаление это камень разбиваться долговечный качество отличный,2,1,1
Бренд 7,заказ приходить быстро упаковка повреждать иметься контроль вскрытие доставаться смешной цена очень рад,2,2,2
Бренд 24,вместо  моток приходить  моток,1,1,0
Бренд 24,здорово качество хороший,1,1,2
Бренд 18,приходить посылка очень быстро упаковывать благодарить,2,2,1
Бренд 17,набор шикарный цвет бисер яркий схема канва четкий значок сливаться цвет значит легко увидеть цвет идти канва жесткий думать это помешать работа отлично,2,2,2
Бренд 22,товар аккуратно упаковывать видно никто вскрывать деталь станок комплектация полный инстукция сборка станок очень качественно сделать деревянный деталь выполнять бук отшлифовывать покупка очень довольный спасибо 🤗,2,2,2
Бренд 18,качество пряжа замечание чуствоваться натуральный состав добавлять нитка хлопок вискоза связывать образец вто образец размер изменять цвет пряжа соответствовать фото реал цвет просто скучно серый светло-серый,2,2,1
Бренд 2,набор понравиться бисер весь цвет хватить очень удобно идти набор рамка подставка,1,1,2
Бренд 18,"детский каприз отличный ниточка сожаление присылать пряжа детский каприз "",  цвет приходиться отказываться",2,2,0
Бренд 24,место проплешина,1,1,1
Бренд 22,"хороший станок хороший украинский фирма везти взять хороший цена  приходиться вернуть промахиваться размер успевать перезаказывать сезон ноябрьский скидка следующий размер  см вместо это  см ),  который рост маловат",2,2,2
Бренд 18,приходить целое упаковывать спасибо,2,1,1
Бренд 10,пряжа просто супер мягкий нежный колоться !!! цвет немного светло описание это зависеть цветопередача шапка  см отворот  нитка уходить  моток,2,2,2
Бренд 53,отличный набор приходить вовремя упаковка целый набор хватать готовый вид смотреться замечательно,1,2,2
Бренд 17,вышивать безумно красивый икона бисер хватить оставаться,2,2,1
Бренд 2,добрый день очень красивый икона бисер хватить оставаться действительно сложно вытаскивать рамка схема перфорация вставлять намного просто получать огромный удовольствие вышивание брать серия спасибо,2,2,2
Бренд 23,приобретать пряжа вязарий крючок ирландский кружево приятный цвет ровный качественный ниточка рекомендовать,2,2,1
Бренд 24,возврат присылать вместо белый цвет зеленый,2,2,0
Бренд 28,хороший приятный планировать комбез новорожденный образец фото спица   цвет жизнь зеленый оправдывать название изумрудный фото почему-то получаться синеватый отлив,2,2,2
Бренд 6,икона рамка упаковка целый товар приходить время  цветок бисер упаковывать отдельный пакетик пронумеровывать игла иметься вышивать дополнять отзыв,2,2,1
Бренд 52,срок годность декабрь  расфасовывать декабрь  сколько год исходный сырье неизвестно факт комок затвердевание масса пора снимать продажа непотребство деньги,2,2,2
Бренд 33,станок супер !!!!! весь фото собирать  минута совпадать высота регулировать спасибо серега мастер давно мечтать,2,2,1
Бренд 6,вышивать большой удовольствие !!! ткань плотный бисер оставаться комплект игла !!! спасибо большой магазин качественный товар !!!,1,2,1
Бренд 24,первый поток нить расплетаеься успевать сделать петля пока однозначный мнение,1,1,0
Бренд 2,полный комплект красота получаться !!!,1,1,2
Бренд 7,набор мечта подарок близкие день рождение уважаемый продавец совесть иметь недешевый набор приходить вид вскрывать потаскать пакет сверху одевать это роскошь стоять пункт выдача знать делать  вроде место настроение испорченный,2,2,2
Бренд 24,ниточка хороший немного жестковатый брать попробовать научаться вязать тоненький научаться тело все-таки жесковатый ,2,2,1
Бренд 22,примерно час собирать пока пробовать насколько удобно,1,2,2
Бренд 25,масло работать,1,2,1
Бренд 24,немного разочаровывать заказывать картинка цвет реал темно пара тон моток толя грязь толя краска видно стирка целое пряжа хороший советовать выписывать детский пледик каляска поздно дополнять комент,2,1,2
Бренд 4,отличный набор,1,1,1
Бренд 90,"работать упаковка выкидывать соответственно возврат невозможный деньги ветер проверять сразу !!! ’
",2,2,2
Бренд 7,отличный набор продумывать ниточка хороший качество радовать основа равномерок схема крупный бэк видный схема,2,2,2
Бренд 24,цвет соответствовать описание,1,1,0
Бренд 8,сожаление тигр почему обращаться волк напутывать ждать набор приходиться делать возврат,1,2,1
Бренд 8,вместо набор тигр приходить чеширский кот  набор красивый оставлять дешево тигр  разбираться вернуть пункт выдача смотреть изображение набор  тбычно ошибка забирать пакет дома обнаруживать,2,1,2
Бренд 7,приходить сохранность приятный цена 👍,2,1,1
Бренд 23,приятный нитка симпатичный приглушенный цвет полотно спокойный цвет,1,1,1
Бренд 2,отлично нитка постоянно путаться отлично,2,1,2
Бренд 6,данный набор очень понравиться полотно плотный качество хороший хотя рано подобный вышивать инструкция понятный новичок расфасовывать запас игла рекомендовать купить сломаться хотя мочь подходить обычный очень тонкий нить набор идти плюс набор приобретать контейнер бисер,2,2,2
Бренд 22,рама разный производитель однозначно хороший качественный крепление ошлифовывать идеально однозначно нужный взять размер сантиметр  жаль,2,2,2
Бренд 6,очень понравиться набор бисер холст хороший качество удовольствие вышивать красота !!!,2,2,1
Бренд 2,красивый солидный правда хватить бисер f,1,1,0
Бренд 10,пряжа отличный изделие процесс вязка пух осыпаться,2,2,2
Бренд 18,отличный пряжа равномерно скручивать очень жесткий упаковывать изделие получаться потрясающий рекомендовать,2,2,2
Бренд 10,заказ приходить точно описание,1,1,1
Бренд 21,цвет 👍 приходить целость сохранность,2,1,1
Бренд 24,хороший нитка цвет точно фисташковый,2,1,1
Бренд 2,приходить нужно целость супер спасибо,1,1,1
Бренд 24,весь петля разный,2,2,1
Бренд 5,товар приходить быстро упаковка целый,1,1,1
Бренд 10,уважаемый рукодельница писать пожалуйста сколько уходить пряжа изделие легко остальной ориентироваться пряжа отличный мягкий держать форма цвет шикарный цвет пыльный роза темный меланж описание цвет соответствовать впечатление описывать цвет дальтоник,2,2,2
Бренд 3,отличный ткань вышивание,2,1,1
Бренд 21,приходить шт моток место указывать описание шт товар отличный качество,2,2,2
Бренд 24,сделать возврат т приходить  моток вместо  очень неприятно  упаковка пакетик запаять просить учитывать процент,2,2,2
Бренд 22,супер приходить быстро деталь место,1,1,1
Бренд 3,отличный равномерок особенно порадовать цена р,2,1,1
Бренд 17,набор классный описание первый покупать набор вышивка фирма радуга бисер весь набор приходить брак единственный игла ломаться игла это вопрос производитель являться постоянный вышивальщица фирма качество напечатать рисунок классный вышивать приятно брать скидка доставка соответствовать срок спасибо огромный,2,2,1
Бренд 90,работать пункт ждать  минута тишина очень жаль,1,1,0
Бренд 10,пряжа класс !!! муж связывать пуловер получаться очень очень теплый !!!,2,1,2
Бренд 23,замечательный пряжа ровный разрыв немного жестковатый именно нужный вязать  спица очень ровно поводить изделие стирка посмотреть единственный цвет немного подкачивать просто розовый серость помин хотеть пепельный роза цвет равный красивый,2,2,2
Бренд 18,пряжа плохой вязаться пителек ровный ооочень колиться,1,2,0
Бренд 24,отличный пряжа впервые вязать положительный эмоция ))  петелька весь ровный мягкий пушистый  моток хватить конверт малышка полмоточка оставаться,2,2,1
Бренд 24,петля пушистый лысый встречаться,1,1,2
Бренд 6,очень качественный плотный ткань красивый биссер приятный цвет очень довольный данный вышивка супер !!!!,2,2,2
Бренд 9,присылать цвет пряжа прикладной искусство,2,2,1
Бренд 25,упаковывать попробовать написать действие ,1,1,0
Бренд 22,"отличный станок пользоваться несколько день очень довольный )))
",1,1,1
Бренд 24,давно вязать нитка мягкий плюшевый четыре рулон упаковка цена хороший доставка бесплатный вообще круто заказывать,2,1,2
Бренд 6,набор приходить целость сохранность трунцало работать впервые свой особенность получаться красиво трунцать вышивать лавсановый нить очень удобно цеплять путаться  выдерживать душа добавлять свой элемент вышивка подчеркивать красота,2,2,2
Бренд 23,хороший пряжа толщина нить меняться немного красный толстый,2,2,2
Бренд 18,"пряжа очень приятный ниточка очень тонкий вязать платок  нитка думать легкий кордиган свитер очень цвет нереальный ),  вязать просто цветотерапия ))  спасибо",2,2,2
Бренд 10,пряжа отличный несколько брать вещь получаться мягкий петля ложиться ровненько суппер,2,2,1
Бренд 22,хороший рама помощь небольшой манипуляция легко подружить станок мастерица дубко,1,1,2
Бренд 61,дочь довольный,1,1,2
Бренд 24,пряжа хороший выписывать упаковка сразу день приходить упаковка сей пора второй писать поиск  почему поиск вообще находить разбираться прийти цвет заказ зделывать вместе приходить упаковка второй болтаться  почему это складываться воедино искать пожалуйста нужный второй упаковка ,2,2,1
Бренд 22,восхитительный ))))))  ожидать товар хороший качество )))  рекомендовать,1,2,1
Бренд 24,приходить  шт  заявлять описание,1,1,1
Бренд 17,сожаление хватить цвет бисер мало поэтоиу мочь заканчивать вышивка претензия магазин производитель,1,1,1
Бренд 61,просто отличный баночка брать специя качество  никакой запах цена отличный  руб  шт,1,1,1
Бренд 56,отличный гуаша скол гладенький приятно держать рука рекомендовать !!!,1,1,1
Бренд 10,мочь это фотография цвет поэтому путаница,2,2,1
Бренд 10,фанат пряжа шикарный мягонький невесомый пушистый,1,1,2
Бренд 3,ткань отрезать ровно цвет молочный зеленоватый люрекс,1,2,1
Бренд 88,кофта классный размер соответствовать полностью цвет фото материал очень приятный тело покупка очень довольный советовать покупать однозначно !!!,2,2,2
Бренд 61,отличный советовать,2,1,1
Бренд 22,рама предыдущий понравиться потерять клипса доставка пакет порывать видимо доставка клипса предыдущий рама,2,2,1
Бренд 22,прекрасный станок давно хотеть размер отличный,1,1,2
Бренд 91,приходить цвет пошить аккуратно,1,1,1
Бренд 24,нитка мягкий цвет красивый,1,1,1
Бренд 33,соответствовать описание деталь место размер достаточно большой удобный регулировка искать специально разный положение,2,2,1
Бренд 5,вышивка приходить бисер очень обидно хороший фирма прокол коробка легкий мысль обман,1,1,2
Бренд 16,ниточка очень нежный цвет белый фото поджигание ниточка пахнуть шерсть очень тоненький,2,2,2
Бренд 4,приходить,1,1,1
Бренд 52,очень крутой микс !! хороший пробовать 👍 🏻 👍 🏻 👍 🏻 жаль наличие давно ждать ,2,2,2
Бренд 17,получать набор классный бисер красивый ровный цвет сливаться схема понятный купить ячейка бисер восторг,1,1,2
Бренд 24,хороший пряжа брать  руб дорого  брать местный магазин купить ждать доставка,2,2,1
Бренд 17,отличный набор  хороший ткань четкий рисунок вышивать удобно бисер набор сколько вышивать,2,2,2
Бренд 2,очень хороший набор процесс приходиться делать дополнительный прокол схема  « канва »  страшно сделать цветок идея подсматривать отзыв высокий захотеться цвет кухня подходить схема хороший напечатать отшивать набор фирма проблема схема писать производитель высылать электронный вариант проблема зрение смело писать производитель идти контакт,2,2,2
