Текст отзыва,Полезность (количество минусов),Не устраивает качество товара,Не устраивает цена товара,Брак заводской / брак в результате транспортировки
"Пришёл один моток вместо 8, очень растроена",1,0,0,0
Спасибо большое за прекрасный набор! Как только увидела его в WILDBERRIES решила заказать. Всё как в описании. Упаковка пришла целая.,1,0,0,0
"Молочный цвет не как на картинке, а скорее светло бежевый. Или мне просто другой цвет пришел?",1,0,0,0
"пришел один моток пряжи вместо трех, прошу дослать недостающие два, не думала, что такое возможно.",1,0,0,0
"Заказали набор, пришёл в порванной упаковке, из 48 цветов ниток в наличии оказалось  только 12... Где остальные?",1,0,0,0
Хорошая пряжа (визуально). Не совсем подошла мне по цвету. Поэтому - возврат.,1,0,0,0
"Очень не удобно.Тяжелая,большая конструкция .Жалко выброшенных денег.Пользоваться не могу",1,0,0,0
Пришло все запечатанное в идеале. Буду начинать эту красуту творить.,1,0,0,0
Хорошие ниточки.,1,0,0,0
"Пряжа пришла,все норм.",1,0,0,0
Роба? Нет! Роба выглядит намного приличней. Снимите это тряпье с производства. Как вам не стыдно торговать таким товаром. Не заказывайте эту куртку! Товар из разряда ожидание & реальность. Полное несоответствие фото,1,0,0,0
"Решила написать вот почему. Комплектация супер. Схема большая,  черно белая, нитковдеватель!!!, ниточки намотаны, все хорошо. Но!!!!! Балерина темнокожая!!! Очень. Я вышивальщица со стажем, но первый раз так сильно отличаются цвета на фото и в реале.",1,0,0,0
"Оценить не удалось, т.к. пришла молочного цвета",1,0,0,0
"Спасибо огромное!Прекрасный набор!Это моя первая работа,я получила массу удовольствия!Теперь это мое хобби,а я ваша постоянная покупательница.",1,0,0,0
Не даю ни одной звезды. Греется только провод. Эффекта ноль.,1,0,0,0
"Мне нужна была тонкая пряжа. И эта хороша. Памятуя недавние свои покупки, перевесила каждый моток и осталась довольна. С этикеткой 52-55 г, т.е. в пределах нормы, потому что при маленьком весе и большом метраже каждый грамм - это несколько 10в метров. Думаю, в работе будет хороша.",1,0,0,0
"Шапка связана резинкой 1х1 спицами N2,5 в 2 нити. Фиксированный отворот, итальянский наборный край, которые на этой пряже получились практически незаметны ) Ушло 2 мотка и еще чуть-чуть от третьего, довязать макушку. На фото после ВТО, пряжа стала более пушистой.",1,0,0,0
"Сюжет очень нравится. Но схема... Бумаге очень тонкая. Уже другие давно делают схемы на приличной бумаге, с пропусками на сгибах. Здесь два больших листа, несколько раз свернутые. И что с ними будет, обтрепятся сразу, значения на сгибах не разберешь. Надо делать копии листов. За такие деньги можно и нормально было сделать. Хотя шрифт не мелкий. Больше не куплю эту фирму.",1,0,0,0
"Молочная пряжа, совсем даже не молочная, а скорее свело серая, не самого чистого оттенка 😒. А в остальном пряжа хорошая.",1,0,0,0
Очень хороший массажёр! Качество супер. Пришёл без повреждений! Спасибо,1,0,0,0
"Получила набор, все сделано хорошо. Но почему инструкция на английском? Это же наборы не для английских рукодельниц?! 🤔",1,0,0,0
"Пряжа мягкая, цвет соответствует. Хватило на комплект (без остатков). Шапка на спицах номер 2 (120 петель), снуд на 3 (96 петель). Нитка состоит из 6 ниточек. После стирки размер увеличился на пару см.",1,0,0,0
"Товар, может,и отличный,но мне положили не тот набор!не под тем номером вышивка. Ошибка склада. Перезаказала",1,0,0,0
"Пряжа пришла упакованная в пакет, компл 3 шт. Визуально хорошая.",1,0,0,0
Соответствует,1,0,0,0
"Пришёл чучуть вытекшим! Но не кречично. Ни чем ни пахнет,но масляный. Папользуюсь дополню",1,0,0,0
"БРЮКИ ДЛЯ МОЛОДЕЖИ, МАТЕРИАЛ ПРИЯТНЫЙ,ШЕЛКОВИСТЫЙ, СТРЕЙЧ,ДЛЯ ЛЕТА. НА МОДЕЛИ БОЛЕЕ СВОБОДНЫ СИДЯТ.",1,0,0,0
Вы че прикалываетесь? Цвет вообще не соответствует заявленному бледно-голубому. Пришел какой то серо буро козявчатый,1,0,0,0
"Брала эту пряжу в других оттенках на раз... почувствовала разницу , особенно- она линяет.  Это впервые, хотя я работала с яркими оттенками,  малиновый и зелёный этой же серии,  ничего никогда не линяло ...а эта прям очень сильно,  ладно бы слегка...",1,0,0,0
"Вязать не очень комфортно, НО! Изделие получается мягкое, шелковистое, просто прелесть! Цвет чудесный! Жаль , что нельзя докупить один моток, а только три, не хватило совсем немного. Вяжу детскую безрукавку в две нити. Для детских вещей- просто находка.  Так что куплю три мотка и останется на шарф внучке. Спасибо!",1,0,0,0
Очень хорошие пяльцы,1,0,0,0
"Заказываю часто и много. Но сегодня, получая заказ очень удивилась.Мне отдали пакет с пряжей, а она рассыпалась по полу, хорошо не в лужу грязи. Почему такая крупная фирма как Валдберис позволяет себе доставлять товар покупателю в некачественной упаковке? Пакет с пряжей был разрезан с двух сторон. Пряжа хорошая, а отношение к покупателю- не очень...",1,0,0,0
"Хороший набор, бисер калиброванный, яркие цвета",1,0,0,0
"Очень приятно вязать этой ниточкой, изделие получается нежное, мягкое и совершенно не колючее, как и положено мериносу. Цвета действительно совершенно не соответствуют реальным. Если хочешь узнать какой на самом деле цвет номер 19, смотри фото номера 39 и наоборот: 39-му номеру подойдёт фото от 19-го. При работе с этой чудесной пряжей надо учитывать, что после ВТО будет прибавка на 1, а то и 2 размера.",1,0,0,0
"Пришло все целое, хорошо упаковано. От головной боли к сожалению мне не помогает это средство",1,0,0,0
"Хорошая качественная мягкая пряжа, тепленькая, но маловастенькая, на хорошую шапку английской вязкой с отворотом диаметром 58 см и в длину 36 см нужно как минимум 5 мотков, поэтому ещё дозаказала",1,0,0,0
"Дважды заказывала пряжу фуксия, малиновый, вишневый № 13, но на складе упорно отправляют пряжу № 40 сиреневого цвета. Прошу не снимать мой процент выкупа.",1,0,0,0
Красивая ровная вязка. Ощучения в изделии самые приятные))) вязала шапочку,1,0,0,0
"Заказывала иволгу, пришёл снегирь, да ещё и меньшего размера. Возврат. Очень обидно, ждала станок 2 недели",1,0,0,0
"Решила написать, так как мало отзывов) Вязала палантин, метр на два, на третьих спицах. Ушло 15 моточков. Пряжа не лёгкая для вязания, ниточки цепляются, распускать практически не возможно, та что берите пряжу с учётом вывязывания образцов. Получилась очень тёплая, мягкая, совсем не колючяя. Стирала шампунем в прохладной воде дважды, так как линяет. После высыхания не села и не растянулась. Чуть расчесала счеточкой ворс для эксперимента, особой разницы нет, если только по краям. Для шапок и плечевых не подходит вообще, резинку не держит. Всем прекрасных изделий!!!",1,0,0,0
"Пряжа приятная,НО вот узлы в ней вообще меня не устраивают!Тем более цена у нее не 70 руб.за моток!!!
За это только 3 звёзды!",1,0,0,0
"Заказывала темно-синий, пришёл джинсовый! Конечно пряжа все равно пригодиться, но вы мне сорвали мои сроки выполнения заказа!!!!",1,0,0,0
"В камплекте нет нитки специальной, нет иголок, картина ужасная мне не нравится",1,0,0,0
"Пряжа просто класс, но цену надо снизить, в вязке смотрятся красиво и вязать только а радость ими.",1,0,0,0
"Масло брала для укрепления волос, после 3-его использования увидела отличный результат, волосы стали выпадать в 3 раза меньше! Однозначно рекомендую данный товар. Наношу на корни волос, пару минут втираю, далее целлофановый пакет и укутываю полотенцем и оставляю на 30-40 мин.",1,0,0,0
"Привезли Nord вместо Merino. Сразу не проверила, теперь «большой сюрприз». Звезда для для WB. К товару претензия лишь одна - не тот(",1,0,0,0
Как я мечтала о ней.Великолепная пряжа.,1,0,0,0
"Малыши, очень маленькие клубки",1,0,0,0
"Многострадальная, трудненькая для меня оказалась работа. С перерывами почти 5 месяцев. Но такая замечательная и одна из самых любимых. А после оформления в прекрасный багет трудно оторвать взгляд. В подарок близкому мне человеку ничего не жалко. Пусть радует не только меня, но и других людей. Спасибо производителю за это чудо и WB за скидку.",1,0,0,0
"Возврат, так как вместо 4 пришло 2 мотка. Придётся одну пачку перезаказывать. Сама пряжа нравиться, пока все что заказывала было удачное, петли ровные. Так что снизела звезду магазину.",1,0,0,0
"Хорошая пряжа, и со льном надо уметь опыт управляться. Пряжа для вязания крючком, не для спиц! Шикарные летне-осенние шали!",1,0,0,0
"Мне не понравилось... Испортила новый компьютерный стол вздулся, зачем вы пишите в инструкции что надо мочить стол чтоб прилипло.. Нельзя сделать на клеевой основе одну сторону.. Вообщем хотела ребенку закрыть стол чтоб он его не испортил когда делает поделки... В итоге самая его испортила.. Повелась на отзывы...",1,0,0,0
"Покупал маме, очень довольна.",1,0,0,0
"Хорошо упакован, попробую напишу в действии...",1,0,0,0
"Почитала отзыв девушки про  набор Физалис, что схема цветная и купила этот набор. На самом деле схема чёрно-белая символьная (крупная, на несколькольких листах) поверх которой нанесен цветной бэк!!!!! Это кошмар!!! Очень разочарованна!!!! Можно схему было сделать чуть меньше и отдельно схему на бэк!!!!!!",1,0,0,0
"Огромное спасибо производителю за эту пряжу, да и вообще, качество Пехорки всегда хорошее! Конечно, вязать в одну нить у меня терпения не хватило) но, связав в 2 нити спицами N2,75 племяшке кофту, получила огромное удовольствие от вязания. И, это несмотря на то, что до этого спицы меньше N4 в руки не брала) Пряжа нежная, без узелков и прочего. С изнаночной стороны переходы более расплывчатые.  На кофту худенькой девочке 1,5 лет ушло чуть меньше 3 моточков. Пряжу брала за 735 руб (6 шт). Считаю, это не дорого для настоящей шерсти, в любом случае, вы получаете теплую уникальную вещь, сделанную своими руками, а не китайский ширпотреб, которым сейчас завален рынок. Наберусь терпения и обязательно свяжу себе свитерок в одну ниточку) жаль цена на площадке меняется часто и не в меньшую сторону. буду ждать хороших скидок!)",1,0,0,0
"Очень довольна результатом по этому набору! Вышивается легко и быстро, правда, есть и замечания. Схема обалденная, значки четкие, ткань плотная, правда, ощущение, что бисер второго сорта, в процессе вышивки пришлось калибровать. Но учитывая цену набора и огромный запас бисера (после отшива его осталось очень много), все просто отлично! Спасибо за такой набор! Давно хотела вышить маки и именно такиие в моем доме появились первыми 😍",1,0,0,0
"Набор пришёл целый, схемы понятные, нитки очень красивые, две иголки, всё супер",1,0,0,0
"Заказала нитки, а пришёл календарь! Первый раз такое!",1,0,0,0
"Прислали 1 моток, вместо 3-х. Возврат",1,0,0,0
"Пришел в мешочке. Красивый, серебристый, но... Очень тонкий, не рискну таким массаж лица делать, и не кажется травмы не избежны
Отказ.",1,0,0,0
"Пряжа замечательная, но цвет мрачноват оказался. Скорее серый.",1,0,0,0
"Прекрасная пряжа, очень ее люблю. Цвет немного ярче, чем на фото. Но мне в самый раз для детских игрушек и вещей.",1,0,0,0
"4 мотка яркой нитки, цвет, как на заставке сайта! Мне нравится!",1,0,0,0
"Очень дорого, масло там я не прочувствовала. Что там, только производителю известно, что-то очень соленое. Больше брать не буду.",1,0,0,0
Ну и.забрала набор и не посмотрела..а дома смотрю.а рисунка на канве НЕТ.и что. вышивать счетным крестом..которым я терпеть не могу.отстой..,1,0,0,0
"Пришло в стрейч плёнке хорошо замотано.Все целое, колпачке на месте по размеру на этот флакон.Будем пробовать в деле.",1,0,0,0
"Набором довольна, пришёл не вскрытый. Единственное не нравится что схемы не цветная, а сделана символами.",1,0,0,0
Отличное средство! Советую,1,0,0,0
всё понравилось 👍🏻,1,0,0,0
"Всё пришло хорошо упакованно, без нюансов, буду пробовать. Спасибо 🌷",1,0,0,0
"Набор прекрасный, в комплекте все камушки и бисеры соответсвуют, плюс есть ниткам иголка, приятный такой бонус🥰не так давно из этой серии вышивала икону Казанской Богородицы..(фотки прилагаю), хотелось бы ещё заказать икону Господа Вседержителя..🤗",1,0,0,0
Замечательная основа для вышивки по вкусной цене! Удобно для полукрестиков и четвертинок.,1,0,0,0
"Пряжа неплохая, ровная без узелков и неровностей. Однако очень колючая и рыхлая. ",1,0,0,0
"Коврик греет, ногам тепло!",1,0,0,0
"Вместо пряжи пришла футболка и перезаказать нет возможности,их нет в наличии,обидно.",1,0,0,0
"Ниточки хороши,но только до ВТО☝🏼.Очень сильно растягивается вещь ,это очень огорчило((А так вяжется легко и петельки все ровные.",1,0,0,0
"Не очень понравился. Нагревается проволока,  впечатанная в пластик. Когда дотрагиваешся - обжигает.",1,0,0,0
На любителя.,1,0,0,0
"Брал на дачу под ноги (пол только через сутки прогревается) для этого коврик просто супер за его цену (700р)
Так же можно сушить обувь.
А вот для животных, детей есть сомнения - мощность только одна и она максимальная, если ноги можно переставить, то постоянно лежат ьи ли сидеть на коврике некомфортно.",1,0,0,0
"Темно-голубой цвет такой как на моем фото (темнее чем представлено, но мне нравится). Мотки меньшего размера чем я ожидала- меньше ладони.",1,0,0,0
"Спицы нормальные, но очень хлюпкие. И одна леска или спица прокручивает , видно резьба плохо сделана. За такую цену я бы не взяла .",1,0,0,0
Все отлично,1,0,0,0
прислали не тот цвет,1,0,0,0
"Очень хорошая пряжа. Нить ровная, не такая уж и тонкая. Для спиц № 1,5 - 2 отлично. Можно и на № 2,5.",1,0,0,0
"В описании совсем мало синтетики, как говорится чуть-чуть. Для прочности. Но по факту мне привезли нитки с содержанием шерсти 9%! Это просто обман. За такую сумму и один сплошной полиамид! Хочу вернуть это безобразие и получиться деньги.",1,0,0,0
"Клеёнка хорошая, лежит на столе замечательно, минус то что остаются следы от бокала, но это не критично",1,0,0,0
"ЭТО ПОДДЕЛКА!!!! Не видитесь, это не оригинальный Дропс! Заказала 2 упаковки т.к. моей пряжи не хватило.  Свою я покупала в городе. Разница очевидна. Моя яркая, мягкая и объёмная, приятно пахнет шерстью. То, что я получила полный отстой....воняет китайской барахолкой, цвет тусклый, нитка тонкая и вовсе не пушистая как оригинальная пряжа, этикетка даже не закреплена в мотке. Кто вязал из настоящего Дрос Эйр сразу увидит разницу.....просто деньги на ветер!!!!! Это просто разочарование...я так надеялась",1,0,0,0
"Приятная пряжа, но учтите, что подобный формат не держит резинку и ее можно использовать только как узор! Взяла на замену дропс эйр, т.к. метраж аналогичный",1,0,0,0
"Пряжа очень мягкая и в то же время упругая🤗 Я брала её до носков, нопоняла, что, если вязать в одну нитку, то слишком тонко, а, если в две, то не выгодно🤔Поэтому добавила ангору, и в итоге  получилось то, сто надо! 👍",1,0,0,0
"Прошла неделя, пока греет, серая сторона греется сильнее, очень тепло, хорошо. Спасибо",1,0,0,0
"Из этой пряжи вязала впервые-понравилось. Получилась такая жилетка оверсайс, спицы 5,0,ушло 3 мотка.",1,0,0,0
"Немного досадно, что внутренняя упаковка оказалась разрезанная.
Видимо вынимали моток и обратно положили.
Потом упаковали в тонкий полиэтиленовый пакетик. 
Покупаю пряжу Пехорки уже не первый раз. Всегда привозили аккуратно запакованные мотки.
И цвет пряжи более тёмный, чем на фото. Не критично, но всё таки осадочек остался. Жаль.
Фото у меня не получается загрузить, я не мастер в интернете.",1,0,0,0
Своеобразный вкус. На любителя.,1,0,0,0
"Пришло вместо 4 мотков 3, более того внутренний пакет был разрезан, потому что пакет был запечатан. Отказ",1,0,0,0
"Судя по цене они из ""золотого"" дерева.",1,0,0,0
"""Детский каприз"" отличная ниточка, но к сожалению прислали совсем другую пряжу. Не ""детский каприз"", и цвет другой. Пришлось отказаться.",1,0,0,0
Пришло в целости и сохранности,1,0,0,0
Станок отличный. Я очень довольна. И как я раньше без него вышивала? 😊 Берите не сомневайтесь. Можно подогнать под вышивку любого размера. Спасибо производителю.,1,0,0,0
"Икона очень красивая!!! Но в схеме на ткани,цвета 7 и 9 не различимы совсем.
Вышивать нужно очень внимательно.
Я вышила много икон и такую схему вижу впервые.",1,0,0,0
"Пряжа отличная, но вот обслуживание специалиста ужасное в филиале г. Бишкек, 4 мкр. Пакет в котором лежала пряжа была порвана, я попросила дать целый пакет. На что он сообщил, что у них нет и я должна купить в другом месте.",1,0,0,0
"купила  на пробу  2  мотка, мне  понравились  эти  ниточки,рекомендую",1,0,0,0
"Греет еле-еле, какое там 40 градусов!!! И до этого еле-еле нагревается не за 5 мин, а за час. Полная фигня. Понятно, почему товар невозвратный,  и почему это сообщение появляется только после оплаты. Иначе такое изделие не продать, все будут возвращать.",1,0,0,0
Отличный набор! Очень яркие нитки,1,0,0,0
"Пряжа хорошая дешевле, чем в обычном магазине. Вязать приятно. Пришло 5 мотков, как и было заявлено. Вязала шапку и шарф подружке.",1,0,0,0
"Пришел нерабочий. На выдаче торопилась и не проверила, тк пишут что надо минут 10 ждать, пока нагреется. Дома проверила - вообще не греет. Буду возвращать.",1,0,0,0
"29 декабря 2020 г. дождалась сообщения о прибытии товара и о ЧУДО - вместо ПРЯЖИ прислали КАРТОНКУ с наклейками, как это может быть? Оформили отказ в пункте получения как неправильное вложение, но деньги до сих пор не вернули. Очень разочарована...",1,0,0,0
"Цвет совсем не персиковый, а скорее горчично-жёлтый, но сама пряжа великолепна, мягкая, приятная.",1,0,0,0
"Быстрая доставка, пришли в обычном пакете с застёжкой. Брала специально для приправ. Размер- идеальный! Теперь в специях порядок! Пластиковая баночка с закручивающейся крышечкой. Рекомендую",1,0,0,0
Не работает! На пункте ждали 10 минут и тишина. Очень жаль.,1,0,0,0
"Пряжа чудесная! Связалась шаль, большая (длина по спинке 150см, разлет крыльев 300см), но легкая, теплая, оооочень мягенькая. Вяжется как песня! Ушло 9 моточков и только в одном из них попались 3 узла. Цвет именно темно-красный, иначе и не назовешь.  Спасибо производителю за  хорошую пряжу!",1,0,0,0
"Очень классная пряжа
Плед получился классный 👍",1,0,0,0
"Красивый набор,только пришёл не комплект!Не хватило нужного цвета бисера!Пришлось докупать отдельно!Очень жаль.",1,0,0,0
Нормальный коврик пришел за  2 дня.  Приятное тепло если сидеть за компом дома или на работе босиком например) но если у вас шершавки на пятках то будет цепляться не очень приятно) решается вопрос помазанием пяток кремом неделю,1,0,0,0
И кто мне теперь его поменяет? Этот брак?,1,0,0,0
"На ощупь пряжа мягкая, цвет чёрный, нить тоненькая,но так и должно быть на 50гр 415 метров это нормально,моточки маленькие для сравнения положила Ализе 800м на 100гр.При поджоге нитка пахнет шерстью.Хорошая пряжа.",1,0,0,0
"Кошка на нем теперь живёт постоянно)) сначала показалось, что слабо греет, но нет, этого вполне достаточно для обогрева. Надеюсь долго прослужит.",1,0,0,0
Набор пришел аккуратно упакован.  Спасибо!,1,0,0,0
Станок хороший.Все пришло аккуратно упаковано. Детали все без зацепок. Собирается легко.,1,0,0,0
Очень тонкая нить.,1,0,0,0
"Пряжа классная, но для меня так немного колючая, не для детей точно. Качество супер. Шапка мужская, на ребенка для фото одела",1,0,0,0
"Все отлично, схемы плотные, яркие. Бисера много.",1,0,0,0
"Пришло из 10 штук всего 5. Но оплатили то как за 10 штук. Отказ. Деньги вернули. Вопрос не к производителю, а к Вайлдберису. Мы же не бараны, проверяем, что нам отправляют. Почему сотрудники Вайлдбериса считают, что и так прокатит. Думают, что мы не посмотрим, и выкупим этот недокомплект? Хотелось бы снова заказать и получить соответствующий товар, но как узнать, что не отправят тот же недокомплект по цене как за полный.",1,0,0,0
Отлично 👍,1,0,0,0
Быстрая сборка. По схеме очень легко собрала за 10 минут. Материал гладкий. Всё в комплекте есть. Спасибо производителю!,1,0,0,0
"Заказала скребок в подарок на НГ,пришел с изьянами(по периметру какие-то сколы).Сдала.Перезаказала снова,пришел еще хуже....Закажу 3 раз,если снова придет с дефектом,на этом будет ""все""!",1,0,0,0
Отличного качества рама. Рекомендую.,1,0,0,0
Полное разочарование! Доставили совершенно другую пряжу! Персонал на складе слепой?!!,1,0,0,0
Классная икона,1,0,0,0
"Петли маленькие, пряжа не понравилась, не мягкая",1,0,0,0
"Очень мягкая,тёплая,не скатывается,только пушится.Цвет 14",1,0,0,0
Очень удобно и тепло ногам,1,0,0,0
"Очень приятная на ощупь, как будто нежный хлопок, цвет пудровый пастельный.Вяжу шапку, надеюсь не разочаруюсь.",1,0,0,0
Пряжа не идеально ровная. Для бактуса крючком подойдет. Но и крючком при вязании заметна разная высота рядов: разная толщина ниток. Изменение цвета пряжи скрывапт этот недостаток. Извух двух мотков получится очень маленький бактус. Возможно трех моточков будет достаточно.,1,0,0,0
"Качество пряжи проверено не одним изделием. Очень достойный меринос, наверное самый пухлый из линейки фулл, доломити, мерино 90, Долли макси и пр. Но у него и 75 м всего. Перед тем, как вязать изделие, свяжите образеци постирайте! Меринос после ВТО хорошо раскрывается и слегка растягивается - это норма для такой нежной, натуральной пряжи! Во время эксплуатации не пилингуется, невероятно нежный, оттенки очень красивые.",1,0,0,0
"Цвет совсем не соответствует фото.В реальности (бежевый и пшеничный) на много темнее...очень расстроило,так как хотела подруге в подарок связать,а цена,извините,за маленькие три моточка заоблачная.На фото бежевая пряжа для сравнения.",1,0,0,0
"Цвет не такой яркий как представлен на образце, нитка тонкая в расчёте на запланированное изделие 6 матков в самый раз",1,0,0,0
"Ниточка мягкая, ровная, вязать приятно. Петли ложатся ровно. Вязала ковточку ребёнку в 2 нитки, на весну. В 3 нитки полноценная и очень тёплая  зимняя ковта получается!  Я довольна! Цвет насыщенный и яркий.",1,0,0,0
"Все было бы отлично, если в первого раза отправили вышивку. Заказала первый раз пришла детская игрушка в виде черепахи. Какого было мое удивление увидев игрушку, которую абсолютно не заказывала. Сделали возврат деньги вернули быстро. Пришлось перезаказать. Теперь все пришло как нужно.",1,0,0,0
"Коврик просто замечательный! Греет аккуратно,не обжигая. Больше и быстрее  нагревается внутренняя сторона. Если будете проверять на пункте выдачи,нужно подождать мин 7,тогда он полностью прогревается. 😊😊😊",1,0,0,0
"Возмущена некорректным описанием товара!! Канва не белая, а цвета слоновой кости, и она с люрексом!! Оставила, конечно, пригодится. Но нужен был белый Эдинбург((",1,0,0,0
"Пришел не тот цвет, 013, даже на сайте нет его. Возврат.",1,0,0,0
"Из такой пряжи хочется вязать. Очень приятная, мягкая, не колючая. Хотелось бы моточек больше😅",1,0,0,0
Греет хорошо,1,0,0,0
"Доставили поводок для собак , вместо баночек",1,0,0,0
"Пряжа понравилась, очень мягкая, вязать одно удовольствие. Связала дочери джемпер.",1,0,0,0
"Замечательный набор. Пришёл невскрытый, все на месте.",1,0,0,0
"не соответствует размеру, не хватает где-то 5 см.",1,0,0,0
Соответствует описанию,1,0,0,0
Хорошая пряжа. Брала на платье. На 58 размер как раз ушло 6 мотков. Буду брать еще другие цвета.Рекомендую!,1,0,0,0
"Покупала за 1600! Нигде они не стоят 4000. Как можно указывать скидку от несуществующей цены. Качество хорошее, удобно в руке держать. Девочки, сравнивайте цены...",1,0,0,0
Все хорошо,1,0,0,0
"Здравствуйте! Коврик был куплен 20 декабря, но к 28 декабря он просто перестал работать, жаль выброшенные деньги.",1,0,0,0
"Заказываю пряжу уже 4й раз, довольна качеством и быстрой доставкой!",1,0,0,0
Пришли ниточки всё целое хорошо упакованы. Ниточки очень тоненькие только для вязки крючком. Но я вязала спицами в три нитки. Вязаное изделие очень хорошо тянется даже очень. После стирки линяют но не критично.Я думаю стирать лучше руками даже на бережной стирки в машинке не подойдёт.,1,0,0,0
"Хорошая пряжа, только тонкая, паутинку только вязать😀",1,0,0,0
"С полгода тому купила станок для вышивания этой же фирмы, но с пяльцами большого размера. Вот решила докупить поменьше. Во-первых, отличное качества. Клипсы держат ткань плотно, не позволяя съезжать. Во-вторых, и барашки закручиваются туго, что опять же не дает ткани провисать через вечер-другой работы. Поправлять приходится, но не слишком часто. В-третьих, станок качественный, гладкий, отполированный. В-четвертых, вполне себе сочетается со станком, просто нужно переставить рамку на нужный размер. В итоге - удобнейшая вещь, как для работы на станке, так и без оного.",1,0,0,0
"Не нравится.... меринос не ощущается совсем, тактильные ощущения при вязке - абсолютный акрил((((( Переходы цвета вот приятные, да, импрессионистские прямо. Но на этом все.",1,0,0,0
Замечательная пряжа.,1,0,0,0
"Тёплая,мягкая,удобная толстовка 👍🏽",1,0,0,0
"Пряжа приятная, но вместо 3х упаковок пришла одна целая, а две разорваны и по одному мотку. Пришлось вернуть, а заказ был в подарок, очень не приятно.",1,0,0,0
"Снизила оценку, из за несоответствия цвета. Пряжа темнее. На ощупь скрипучая, как будто даже колючая. Вяжется легко, хорошо скользит по саицам. Посмотрим на изделие после вто.",1,0,0,0
"Коврик понравился! Греет хорошо, красивый.",1,0,0,0
Великолепное исполнение рабочей части крючка. Работать ими наслождение. Даже крупными. Советую купить.,1,0,0,0
"Качество хорошее, но в набор не входит нитка.",1,0,0,0
Вместо молочного цвета положили цвет перванш. Забирала не сама  и поэтому сразу не вернула.  И что теперь делать?,1,0,0,0
"Упаковка на уровне плинтуса, зубная паста за 50 рублей и то имеет мембрану, а масло за 600 рублей не имеет упаковки в принципе, даже без колпачка, а уж о качестве содержимого остаётся только надеяться, сто никто не налил воды в бутылочку🤷🏻‍♀️. Считаю, что производителю стоит задуматься. В следующий раз буду Искать в надежной упаковке.",1,0,0,0
"Какая прелесть, пряжа как мягкий пушистик, люкс👌, цвет не соответствует,  но это не критично, жду другие пушистики, не терпится насладиться работой с данной пряжей😍",1,0,0,0
"Станок мне понравился, собирала недолго. Ещё в деле не пробывала, но думаю всё будет хорошо. Единственное, как по мне нужна всё таки боковая натяжка, но это моё мнение",1,0,0,0
"У меня не особенно чувствительная кожа, но есть реакция на солёную воду. Массировала плечи с этим маслом, на первый день все было нормально, а на второй кожу начало жутко жечь, постаралась как можно быстрее смыть водой ощущения прекратились. В итоге через 2 дня кожа начала облезать как после лёгкого химического ожега. Советую быть осторожными тем, у кого как и у меня есть реакция кожи на соль.",1,0,0,0
